80.870003,3926600
80.529999,3515600
81.849998,4444000
78.879997,4692900
76.669998,4354900
74.940002,4965900
75.529999,6461300
73.849998,6650800
74.940002,12905700
79.199997,10604600
86.360001,3407200
87.989998,3185700
87.949997,3060800
89.610001,2873900
89.129997,4652500
84.519997,5315500
84.849998,3041900
86.889999,2745700
86.769997,3935600
89.629997,5390100
88,4298700
87.940002,3666100
89.18,3673100
89.169998,3921500
89.800003,4052500
88.300003,3368100
89.82,2333600
89.379997,2356600
87.849998,2249200
89.110001,2696400
91.019997,1667700
92.339996,1821300
91.970001,2966900